City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,72.48,scattered clouds,-23.12,-134.97,Pension Maro'i
1,Yumen,CN,86.54,overcast clouds,40.28,97.2,
2,Winnemucca,US,53.6,clear sky,40.97,-117.74,Winners Inn Casino
4,Tasiilaq,GL,48.2,broken clouds,65.61,-37.64,The Red House
5,Sangar,RU,65.59,clear sky,63.92,127.47,
6,Butaritari,KI,82.6,scattered clouds,3.07,172.79,Isles Sunset Lodge
7,Cayenne,GF,75.2,light rain,4.93,-52.33,Hôtel Le Dronmi
8,Itoman,JP,84.2,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
9,Kindu,CD,99.39,few clouds,-2.95,25.95,Hotel Karibu
10,Provideniya,RU,43.41,broken clouds,64.38,-173.3,
11,Acapulco,MX,79.21,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
12,Balabac,PH,82.98,overcast clouds,7.99,117.06,Sing and Swing Lodge
13,Carndonagh,IE,60.8,shower rain,55.25,-7.27,Tigín Tuí
14,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
15,Saskylakh,RU,72.86,overcast clouds,71.92,114.08,
16,Bilibino,RU,45.54,overcast clouds,68.05,166.44,Gostinitsa Severyanka
17,Severo-Kurilsk,RU,53.04,overcast clouds,50.68,156.12,Kak Doma
18,Avarua,CK,60.8,overcast clouds,-21.21,-159.78,Paradise Inn
19,Dingle,PH,78.89,moderate rain,11.0,122.67,Camp Pasica
20,Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
22,Ndele,CF,76.14,light rain,8.41,20.65,
23,Cozumel,MX,78.8,few clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
24,Altamira,BR,73.53,clear sky,-3.2,-52.21,Requinte Hotel
25,Hithadhoo,MV,83.93,broken clouds,-0.6,73.08,Scoop Guest House
26,Havoysund,NO,55.4,broken clouds,71.0,24.66,Arctic View Glamping & Restaurant
27,Busselton,AU,53.01,overcast clouds,-33.65,115.33,Observatory Guest House
28,Jamestown,US,71.01,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
29,Mar Del Plata,AR,50.0,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
30,Ambovombe,MG,70.68,clear sky,-25.17,46.08,MONJA Talilisoa
31,Saint-Philippe,RE,73.4,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
32,Tuatapere,NZ,47.52,broken clouds,-46.13,167.68,Tom Cruse Refreshment Company
33,Killybegs,IE,60.01,scattered clouds,54.63,-8.45,Tara Hotel
34,Tagusao,PH,82.74,light rain,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
37,Adrar,MR,103.05,clear sky,20.5,-10.07,
38,Chingirlau,KZ,90.37,overcast clouds,51.09,54.08,
39,Esperance,AU,57.2,overcast clouds,-33.87,121.9,Hospitality Esperance
40,Mataram,ID,78.8,few clouds,-8.58,116.12,Hotel Santika Mataram
41,Puerto Quijarro,BO,68.58,clear sky,-17.78,-57.77,Hotel palance
42,Kihei,US,78.8,broken clouds,20.79,-156.47,Maui Sunset
43,Port Blair,IN,83.07,light rain,11.67,92.75,Fortune Resort Bay Island
44,Lorengau,PG,81.52,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
45,Cape Town,ZA,73.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
46,Nizhnyaya Tura,RU,87.28,broken clouds,58.63,59.81,"Gostinitsa ""Tura"""
47,Muttenz,CH,73.0,light rain,47.52,7.65,Coop Tagungszentrum
48,Jalu,LY,100.62,clear sky,29.03,21.55,Jalu Hotel
49,Albany,US,73.0,moderate rain,42.6,-73.97,
50,Torbay,CA,59.0,overcast clouds,47.67,-52.73,Gallows Cove
51,Hasaki,JP,75.99,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
52,Nyurba,RU,71.91,clear sky,63.28,118.33,Gostinitsa Alrosa
54,Bluff,NZ,50.13,broken clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
55,Sitka,US,57.2,light rain,57.05,-135.33,Westmark Sitka
56,Ribeira Grande,PT,75.2,few clouds,38.52,-28.7,Quinta da Meia Eira
57,Amapa,BR,73.36,few clouds,1.0,-52.0,
58,Nykoping,SE,71.6,broken clouds,58.75,17.01,Clarion Collection Hotel Kompaniet
59,Labuan,MY,86.0,few clouds,5.28,115.24,Tiara Labuan Hotel
60,Mataura,NZ,48.16,overcast clouds,-46.19,168.86,Ellie's Villa
61,Boddam,GB,60.01,light rain,57.47,-1.78,Palace Hotel
62,Grindavik,IS,51.8,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
63,Atuona,PF,78.31,few clouds,-9.8,-139.03,Villa Enata
64,Hobart,AU,50.0,broken clouds,-42.88,147.33,St Ives Apartments
65,Garden City,US,73.0,moderate rain,42.33,-83.33,Quality Inn & Suites Banquet Center
66,Tuntum,BR,78.58,few clouds,-5.26,-44.65,MG Hotel
