WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.12,-134.97,72.48,78,47,11.12,scattered clouds
1,Yumen,CN,40.28,97.2,86.54,12,98,23.71,overcast clouds
2,Winnemucca,US,40.97,-117.74,53.6,18,1,6.93,clear sky
3,Qaanaaq,GL,77.48,-69.36,37.31,87,100,16.96,light rain
4,Tasiilaq,GL,65.61,-37.64,48.2,60,69,5.82,broken clouds
5,Sangar,RU,63.92,127.47,65.59,52,0,7.45,clear sky
6,Butaritari,KI,3.07,172.79,82.6,78,50,16.26,scattered clouds
7,Cayenne,GF,4.93,-52.33,75.2,100,83,3.36,light rain
8,Itoman,JP,26.12,127.67,84.2,83,75,12.75,broken clouds
9,Kindu,CD,-2.95,25.95,99.39,22,14,5.44,few clouds
10,Provideniya,RU,64.38,-173.3,43.41,73,83,6.78,broken clouds
11,Acapulco,MX,16.86,-99.89,79.21,79,33,4.16,scattered clouds
12,Balabac,PH,7.99,117.06,82.98,80,97,10.07,overcast clouds
13,Carndonagh,IE,55.25,-7.27,60.8,77,75,10.29,shower rain
14,Kapaa,US,22.08,-159.32,78.8,78,75,16.11,broken clouds
15,Saskylakh,RU,71.92,114.08,72.86,46,100,6.15,overcast clouds
16,Bilibino,RU,68.05,166.44,45.54,80,98,2.8,overcast clouds
17,Severo-Kurilsk,RU,50.68,156.12,53.04,88,100,3.58,overcast clouds
18,Avarua,CK,-21.21,-159.78,60.8,93,98,2.24,overcast clouds
19,Dingle,PH,11.0,122.67,78.89,85,100,4.65,moderate rain
20,Souillac,MU,-20.52,57.52,75.2,64,75,14.99,shower rain
21,Punta Arenas,CL,-53.15,-70.92,37.0,83,80,9.17,broken clouds
22,Ndele,CF,8.41,20.65,76.14,88,100,2.98,light rain
23,Cozumel,MX,20.51,-86.95,78.8,100,20,7.2,few clouds
24,Altamira,BR,-3.2,-52.21,73.53,65,0,2.08,clear sky
25,Hithadhoo,MV,-0.6,73.08,83.93,68,83,8.57,broken clouds
26,Havoysund,NO,71.0,24.66,55.4,71,61,13.87,broken clouds
27,Busselton,AU,-33.65,115.33,53.01,98,97,7.83,overcast clouds
28,Jamestown,US,42.1,-79.24,71.01,88,90,9.17,overcast clouds
29,Mar Del Plata,AR,-38.0,-57.56,50.0,100,57,7.65,broken clouds
30,Ambovombe,MG,-25.17,46.08,70.68,58,0,18.9,clear sky
31,Saint-Philippe,RE,-21.36,55.77,73.4,56,20,19.46,few clouds
32,Tuatapere,NZ,-46.13,167.68,47.52,93,62,3.71,broken clouds
33,Killybegs,IE,54.63,-8.45,60.01,93,40,11.41,scattered clouds
34,Tagusao,PH,9.19,117.81,82.74,77,93,4.65,light rain
35,Ushuaia,AR,-54.8,-68.3,37.4,85,90,3.51,light intensity drizzle
36,Leningradskiy,RU,69.38,178.42,38.1,85,99,6.2,overcast clouds
37,Adrar,MR,20.5,-10.07,103.05,8,0,9.95,clear sky
38,Chingirlau,KZ,51.09,54.08,90.37,25,98,12.75,overcast clouds
39,Esperance,AU,-33.87,121.9,57.2,67,95,5.82,overcast clouds
40,Mataram,ID,-8.58,116.12,78.8,69,20,5.82,few clouds
41,Puerto Quijarro,BO,-17.78,-57.77,68.58,51,0,2.73,clear sky
42,Kihei,US,20.79,-156.47,78.8,65,75,11.41,broken clouds
43,Port Blair,IN,11.67,92.75,83.07,78,100,24.81,light rain
44,Lorengau,PG,-2.02,147.27,81.52,79,33,11.16,scattered clouds
45,Cape Town,ZA,-33.93,18.42,73.0,30,0,14.99,clear sky
46,Nizhnyaya Tura,RU,58.63,59.81,87.28,29,76,17.58,broken clouds
47,Muttenz,CH,47.52,7.65,73.0,74,91,1.01,light rain
48,Jalu,LY,29.03,21.55,100.62,18,0,10.6,clear sky
49,Albany,US,42.6,-73.97,73.0,88,100,3.74,moderate rain
50,Torbay,CA,47.67,-52.73,59.0,100,90,10.29,overcast clouds
51,Hasaki,JP,35.73,140.83,75.99,83,75,8.05,broken clouds
52,Nyurba,RU,63.28,118.33,71.91,63,5,5.08,clear sky
53,Barrow,US,71.29,-156.79,35.6,86,90,11.41,overcast clouds
54,Bluff,NZ,-46.6,168.33,50.13,88,81,4.32,broken clouds
55,Sitka,US,57.05,-135.33,57.2,93,90,2.57,light rain
56,Ribeira Grande,PT,38.52,-28.7,75.2,69,20,6.93,few clouds
57,Amapa,BR,1.0,-52.0,73.36,96,22,1.03,few clouds
58,Nykoping,SE,58.75,17.01,71.6,60,76,11.41,broken clouds
59,Labuan,MY,5.28,115.24,86.0,79,20,2.24,few clouds
60,Mataura,NZ,-46.19,168.86,48.16,94,95,1.52,overcast clouds
61,Boddam,GB,57.47,-1.78,60.01,72,88,6.93,light rain
62,Grindavik,IS,63.84,-22.43,51.8,81,75,10.29,broken clouds
63,Atuona,PF,-9.8,-139.03,78.31,79,15,18.34,few clouds
64,Hobart,AU,-42.88,147.33,50.0,57,75,8.05,broken clouds
65,Garden City,US,42.33,-83.33,73.0,94,90,8.05,moderate rain
66,Tuntum,BR,-5.26,-44.65,78.58,55,24,11.16,few clouds
67,Chanute,US,37.68,-95.46,66.2,88,1,9.01,clear sky
68,Chokurdakh,RU,70.63,147.92,53.87,64,57,8.41,broken clouds
69,Troitsko-Pechorsk,RU,62.71,56.2,58.05,94,100,8.72,light rain
70,Denpasar,ID,-8.65,115.22,78.8,83,20,12.75,few clouds
71,Pevek,RU,69.7,170.31,35.37,87,85,3.49,overcast clouds
72,Norman Wells,CA,65.28,-126.83,66.2,88,75,9.17,broken clouds
73,Sao Filipe,CV,14.9,-24.5,78.71,81,12,7.25,few clouds
74,Katobu,ID,-4.94,122.53,74.62,83,25,5.84,scattered clouds
75,Mount Gambier,AU,-37.83,140.77,48.2,87,90,3.36,overcast clouds
76,Port Alfred,ZA,-33.59,26.89,84.72,17,0,12.68,clear sky
77,Bredasdorp,ZA,-34.53,20.04,77.0,25,0,3.36,clear sky
78,Carnarvon,AU,-24.87,113.63,66.2,82,0,11.41,clear sky
79,Dikson,RU,73.51,80.55,54.48,71,90,11.45,overcast clouds
80,Saint George,US,37.1,-113.58,84.2,18,1,3.36,clear sky
81,Port Keats,AU,-14.25,129.55,68.5,71,0,6.91,clear sky
82,Faanui,PF,-16.48,-151.75,78.28,82,55,11.83,broken clouds
83,Zilupe,LV,56.39,28.12,66.6,51,83,3.18,broken clouds
84,Tiksi,RU,71.69,128.87,47.8,79,40,4.92,scattered clouds
85,Ilulissat,GL,69.22,-51.1,44.6,81,0,4.7,clear sky
86,Madras,IN,13.09,80.28,93.2,52,75,10.29,broken clouds
87,Thompson,CA,55.74,-97.86,44.6,100,20,2.24,few clouds
88,Katsuura,JP,35.13,140.3,78.01,82,77,7.96,broken clouds
89,Sao Joao Da Barra,BR,-21.64,-41.05,62.6,100,20,6.82,few clouds
90,Nanortalik,GL,60.14,-45.24,46.47,90,85,12.26,overcast clouds
91,Mareeba,AU,-17.0,145.43,68.0,82,75,11.41,drizzle
92,Jadu,LY,31.95,12.03,96.49,10,0,6.06,clear sky
93,Makakilo City,US,21.35,-158.09,78.8,64,1,4.7,clear sky
94,Pisco,PE,-13.7,-76.22,53.01,93,40,2.24,mist
95,Nauta,PE,-4.51,-73.58,70.81,85,33,1.16,scattered clouds
96,Hilo,US,19.73,-155.09,73.4,78,90,4.7,light rain
97,Dingli,MT,35.86,14.38,93.2,46,0,5.82,clear sky
98,Eureka,US,40.8,-124.16,57.0,93,90,2.24,fog
99,Udachnyy,RU,66.42,112.4,75.2,27,16,2.24,few clouds
100,Margate,GB,51.38,1.39,68.0,52,9,4.0,clear sky
101,Kodiak,US,57.79,-152.41,51.8,87,75,3.36,broken clouds
102,Gayny,RU,60.31,54.32,69.4,76,100,13.11,light rain
103,Fairbanks,US,64.84,-147.72,60.8,100,90,5.82,light rain
104,Homer,US,59.64,-151.55,55.4,93,90,1.23,fog
105,Kavieng,PG,-2.57,150.8,82.18,78,43,7.43,moderate rain
106,Rio Gallegos,AR,-51.62,-69.22,37.4,69,59,16.11,broken clouds
107,Mahebourg,MU,-20.41,57.7,75.2,64,75,14.99,shower rain
108,Clyde River,CA,70.47,-68.59,37.4,100,75,8.34,broken clouds
109,Srednekolymsk,RU,67.45,153.68,55.15,61,98,3.76,overcast clouds
110,Nikolskoye,RU,59.7,30.79,69.01,49,20,6.71,few clouds
111,Griffith,US,41.53,-87.42,66.2,83,90,5.82,light rain
112,Puerto Ayora,EC,-0.74,-90.35,66.0,97,96,3.0,overcast clouds
113,Colac,AU,-38.33,143.58,48.0,95,98,2.53,overcast clouds
114,Kharp,RU,66.8,65.81,70.09,50,77,10.54,broken clouds
115,Charters Towers,AU,-20.1,146.27,62.24,74,67,11.1,broken clouds
116,East London,ZA,-33.02,27.91,82.4,28,0,5.82,clear sky
117,Bethel,US,41.37,-73.41,73.4,94,90,4.7,overcast clouds
118,Myre,NO,69.1,15.95,60.8,87,16,9.17,few clouds
119,Hermanus,ZA,-34.42,19.23,79.0,27,0,9.48,clear sky
120,Tiznit,MA,29.58,-9.5,99.93,15,11,5.39,few clouds
121,New Norfolk,AU,-42.78,147.06,48.99,72,68,1.01,light rain
122,Bereda,ES,43.27,-7.54,70.0,63,95,14.0,overcast clouds
123,Bhera,PK,32.48,72.91,104.59,33,0,3.2,clear sky
124,Hima,UG,0.3,30.18,89.56,24,16,3.94,few clouds
125,Eyl,SO,7.98,49.82,92.86,35,95,29.51,overcast clouds
126,Tuktoyaktuk,CA,69.45,-133.04,44.55,85,100,20.24,overcast clouds
127,Dunajska Streda,SK,47.99,17.61,84.99,42,36,1.99,scattered clouds
128,Goderich,CA,43.75,-81.72,68.0,85,100,10.74,heavy intensity rain
129,Edgewater,US,28.99,-80.9,81.0,94,75,8.05,broken clouds
130,Vaini,TO,-21.2,-175.2,71.6,83,75,8.05,broken clouds
131,Salalah,OM,17.02,54.09,87.8,74,40,13.87,scattered clouds
132,Talnakh,RU,69.49,88.4,73.4,40,100,11.18,overcast clouds
133,Tres Arroyos,AR,-38.37,-60.28,46.51,77,61,7.49,broken clouds
